Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
113,2017,2017-09-10,1,1,29.160,PHI,@,WAS,W 30-17,*,0,0,,0,0,0,2.0,3,1,4,2,2,0,0,0,0,0,0,1,0,0,0,0,0%,43,68%,4,15%,
114,2017,2017-09-17,2,2,29.167,PHI,@,KAN,L 20-27,*,0,0,,0,0,0,0.5,2,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,38,72%,5,17%,
115,2017,2017-09-24,3,3,29.174,PHI,,NYG,W 27-24,*,0,0,,0,0,0,0.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,46,66%,6,21%,
116,2017,2017-10-01,4,4,29.181,PHI,@,LAC,W 26-24,*,0,0,,0,0,0,0.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,44,77%,4,15%,
117,2017,2017-10-08,5,5,29.188,PHI,,ARI,W 34-7,*,0,0,,0,0,0,1.0,4,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0%,43,72%,2,7%,
118,2017,2017-10-12,6,6,29.192,PHI,@,CAR,W 28-23,*,0,0,,0,0,0,0.5,1,2,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0%,62,76%,4,12%,
119,2017,2017-10-23,7,7,29.203,PHI,,WAS,W 34-24,*,0,0,,0,0,0,0.0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0%,44,69%,4,12%,
120,2017,2017-10-29,8,8,29.209,PHI,,SFO,W 33-10,*,0,0,,0,0,0,1.0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,43,65%,3,9%,
121,2017,2017-11-05,9,9,29.216,PHI,,DEN,W 51-23,*,0,0,,0,0,0,0.0,3,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,41,63%,5,14%,
122,2017,2017-11-19,10,11,29.230,PHI,@,DAL,W 37-9,*,0,0,,0,0,0,1.0,2,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,44,70%,4,15%,
123,2017,2017-11-26,11,12,29.237,PHI,,CHI,W 31-3,*,0,0,,0,0,0,1.0,5,0,5,2,1,0,0,0,0,0,0,1,0,0,0,0,0%,34,62%,3,13%,
124,2017,2017-12-03,12,13,29.244,PHI,@,SEA,L 10-24,*,0,0,,0,0,0,1.5,4,1,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0%,47,76%,4,18%,
125,2017,2017-12-10,13,14,29.251,PHI,@,LAR,W 43-35,*,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,1,0,0%,36,75%,7,19%,
126,2017,2017-12-17,14,15,29.258,PHI,@,NYG,W 34-29,*,0,0,,0,0,0,1.0,3,1,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0%,62,71%,5,16%,
127,2017,2017-12-25,15,16,29.266,PHI,,OAK,W 19-10,*,0,0,,0,0,0,0.0,3,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,36,54%,2,7%,
128,2017,2017-12-31,,17,,PHI,,DAL,L 0-6,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
129,2018,2018-09-06,1,1,30.156,PHI,,ATL,W 18-12,*,0,0,,0,0,0,0.0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0%,46,66%,3,11%,
130,2018,2018-09-16,2,2,30.166,PHI,@,TAM,L 21-27,*,0,0,,0,0,0,0.0,4,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,39,67%,4,14%,
131,2018,2018-09-23,3,3,30.173,PHI,,IND,W 20-16,*,0,0,,0,0,0,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,34,58%,4,14%,
132,2018,2018-09-30,4,4,30.180,PHI,@,TEN,L 23-26,*,0,0,,0,0,0,0.0,2,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,41,58%,4,13%,
133,2018,2018-10-07,5,5,30.187,PHI,,MIN,L 21-23,*,0,0,,0,0,0,1.0,3,0,3,2,2,0,0,0,1,0,0,0,0,0,0,0,0%,52,84%,7,26%,
134,2018,2018-10-11,6,6,30.191,PHI,@,NYG,W 34-13,*,0,0,,0,0,0,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,39,60%,4,12%,
135,2018,2018-10-21,7,7,30.201,PHI,,CAR,L 17-21,*,0,0,,0,0,0,0.5,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,39,66%,2,9%,
136,2018,2018-10-28,8,8,30.208,PHI,@,JAX,W 24-18,*,0,0,,0,0,0,0.0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,51,80%,4,17%,
137,2018,2018-11-11,9,10,30.222,PHI,,DAL,L 20-27,*,0,0,,0,0,0,1.5,3,2,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0%,55,80%,6,21%,
138,2018,2018-11-18,10,11,30.229,PHI,@,NOR,L 7-48,*,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,42,60%,9,32%,
139,2018,2018-11-25,11,12,30.236,PHI,,NYG,W 25-22,*,0,0,,0,0,0,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,49,80%,4,15%,
140,2018,2018-12-03,12,13,30.244,PHI,,WAS,W 28-13,*,0,0,,0,0,0,1.0,3,0,3,1,2,0,0,0,0,0,0,1,0,0,0,0,0%,38,84%,4,16%,
141,2018,2018-12-09,13,14,30.250,PHI,@,DAL,L 23-29,*,0,0,,0,0,0,0.0,3,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0%,83,84%,6,21%,
142,2018,2018-12-16,14,15,30.257,PHI,@,LAR,W 30-23,*,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,57,75%,6,19%,
143,2018,2018-12-23,15,16,30.264,PHI,,HOU,W 32-30,*,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,54,83%,6,21%,
144,2018,2018-12-30,16,17,30.271,PHI,@,WAS,W 24-0,*,0,0,,0,0,0,0.0,2,0,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0%,35,78%,2,11%,
145,2019,2019-09-08,1,1,31.158,PHI,,WAS,W 32-27,*,0,0,,0,0,0,0.0,2,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,46,72%,6,21%,
146,2019,2019-09-15,2,2,31.165,PHI,@,ATL,L 20-24,*,0,0,,0,0,0,0.0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,48,76%,5,21%,
147,2019,2019-09-22,3,3,31.172,PHI,,DET,L 24-27,*,0,0,,0,0,0,0.0,3,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,52,85%,6,20%,
148,2019,2019-09-26,4,4,31.176,PHI,@,GNB,W 34-27,*,0,0,,0,0,0,0.0,1,1,2,1,0,0,0,0,0,0,0,0,1,4,0,0,0%,60,76%,5,19%,
149,2019,2019-10-06,5,5,31.186,PHI,,NYJ,W 31-6,*,0,0,,0,0,0,3.0,4,2,6,2,5,0,0,0,0,0,0,0,0,0,0,0,0%,40,69%,1,4%,
150,2019,2019-10-13,6,6,31.193,PHI,@,MIN,L 20-38,*,0,0,,0,0,0,1.0,3,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,55,77%,6,21%,
151,2019,2019-10-20,7,7,31.200,PHI,@,DAL,L 10-37,*,0,0,,0,0,0,0.0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,49,71%,8,32%,
152,2019,2019-10-27,8,8,31.207,PHI,@,BUF,W 31-13,*,0,0,,0,0,0,1.0,5,1,6,2,1,0,0,0,0,0,0,1,1,0,0,0,0%,44,75%,4,15%,
153,2019,2019-11-03,9,9,31.214,PHI,,CHI,W 22-14,*,0,0,,0,0,0,1.0,2,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,34,77%,3,10%,
154,2019,2019-11-17,10,11,31.228,PHI,,NWE,L 10-17,*,0,0,,0,0,0,0.0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,65,88%,4,14%,
155,2019,2019-11-24,11,12,31.235,PHI,,SEA,L 9-17,*,0,0,,0,0,0,1.5,1,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0%,48,79%,3,14%,
156,2019,2019-12-01,12,13,31.242,PHI,@,MIA,L 31-37,*,0,0,,0,0,0,0.0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,57,80%,5,16%,
157,2019,2019-12-09,13,14,31.250,PHI,,NYG,W 23-17,*,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,45,87%,3,9%,
158,2019,2019-12-15,14,15,31.256,PHI,@,WAS,W 37-27,*,0,0,,0,0,0,0.0,4,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0%,43,81%,5,17%,
159,2019,2019-12-22,15,16,31.263,PHI,,DAL,W 17-9,*,0,0,,0,0,0,0.0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,44,71%,8,29%,
160,2019,2019-12-29,16,17,31.270,PHI,@,NYG,W 34-17,*,0,0,,0,0,0,1.0,3,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0%,45,61%,5,15%,
161,2020,2020-09-13,1,1,32.163,PHI,@,WAS,L 17-27,*,0,0,,0,0,0,0.0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,38,54%,4,12%,
162,2020,2020-09-20,2,2,32.170,PHI,,LAR,L 19-37,*,0,0,,0,0,0,1.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,44,64%,8,32%,
163,2020,2020-09-27,3,3,32.177,PHI,,CIN,T 23-23,*,0,0,,0,0,0,2.0,5,0,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0%,58,81%,6,16%,
164,2020,2020-10-04,4,4,32.184,PHI,@,SFO,W 25-20,*,0,0,,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,56,77%,2,8%,
165,2020,2020-10-11,5,5,32.191,PHI,@,PIT,L 29-38,*,0,0,,0,0,0,0.0,3,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,58,76%,6,23%,
166,2020,2020-10-18,6,6,32.198,PHI,,BAL,L 28-30,*,0,0,,0,0,0,2.0,5,1,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0%,44,60%,8,25%,
167,2020,2020-10-22,7,7,32.202,PHI,,NYG,W 22-21,*,0,0,,0,0,0,1.0,3,1,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0%,43,72%,4,15%,
168,2020,2020-11-01,8,8,32.212,PHI,,DAL,W 23-9,*,0,0,,0,0,0,1.0,2,2,4,0,1,0,0,0,0,0,0,1,1,0,0,0,0%,43,54%,4,19%,
169,2020,2020-11-15,9,10,32.226,PHI,@,NYG,L 17-27,*,0,0,,0,0,0,0.0,4,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,46,65%,8,32%,
170,2020,2020-11-22,10,11,32.233,PHI,@,CLE,L 17-22,*,0,0,,0,0,0,0.0,3,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0%,53,79%,5,17%,
171,2020,2020-11-30,11,12,32.241,PHI,,SEA,L 17-23,*,0,0,,0,0,0,0.0,2,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,44,66%,5,20%,
172,2020,2020-12-06,12,13,32.247,PHI,@,GNB,L 16-30,*,0,0,,0,0,0,0.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,41,67%,5,19%,
173,2020,2020-12-13,13,14,32.254,PHI,,NOR,W 24-21,*,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,42,67%,6,23%,
174,2020,2020-12-20,14,15,32.261,PHI,@,ARI,L 26-33,*,0,0,,0,0,0,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,41,60%,7,23%,
175,2020,2020-12-27,15,16,32.268,PHI,@,DAL,L 17-37,*,0,0,,0,0,0,1.0,2,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0%,58,83%,10,32%,
176,2020,2021-01-03,16,17,32.275,PHI,,WAS,L 14-20,*,0,0,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,49,78%,4,16%,
177,2021,2021-09-12,1,1,33.162,PHI,@,ATL,W 32-6,*,0,0,,0,0,0,0.0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,35,49%,2,8%,
178,2021,2021-09-19,2,2,33.169,PHI,,SFO,L 11-17,*,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,15,21%,1,5%,
179,2021,2021-09-27,3,3,,PHI,@,DAL,L 21-41,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
180,2021,2021-10-03,4,4,,PHI,,KAN,L 30-42,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
181,2021,2021-10-10,5,5,,PHI,@,CAR,W 21-18,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
182,2021,2021-10-14,6,6,,PHI,,TAM,L 22-28,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
183,2021,2021-10-24,7,7,,PHI,@,LVR,L 22-33,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
184,2021,2021-10-31,8,8,,PHI,@,DET,W 44-6,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
185,2021,2021-11-07,9,9,,PHI,,LAC,L 24-27,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
186,2021,2021-11-14,10,10,,PHI,@,DEN,W 30-13,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
187,2021,2021-11-21,11,11,,PHI,,NOR,W 40-29,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
188,2021,2021-11-28,12,12,,PHI,@,NYG,L 7-13,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
189,2021,2021-12-05,13,13,,PHI,@,NYJ,W 33-18,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
190,2021,2021-12-21,14,15,,PHI,,WAS,W 27-17,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
191,2021,2021-12-26,15,16,,PHI,,NYG,W 34-10,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
192,2021,2022-01-02,16,17,,PHI,@,WAS,W 20-16,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
193,2021,2022-01-08,17,18,,PHI,,DAL,L 26-51,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
194,2022,2022-09-11,1,1,34.161,PHI,@,DET,W 38-35,,0,0,,0,0,0,0.5,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,29,42%,5,16%,
195,2022,2022-09-19,2,2,34.169,PHI,,MIN,W 24-7,,0,0,,0,0,0,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,29,48%,1,5%,
196,2022,2022-09-25,3,3,34.175,PHI,@,WAS,W 24-8,,0,0,,0,0,0,2.5,4,2,6,2,5,0,0,0,1,0,0,1,0,0,0,0,0%,27,35%,0,0%,
197,2022,2022-10-02,4,4,34.182,PHI,,JAX,W 29-21,,0,0,,0,0,0,0.0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,20,43%,3,13%,
198,2022,2022-10-09,5,5,34.189,PHI,@,ARI,W 20-17,,0,0,,0,0,0,0.0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,33,48%,4,16%,
199,2022,2022-10-16,6,6,34.196,PHI,,DAL,W 26-17,,0,0,,0,0,0,0.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,29,43%,4,17%,
200,2022,2022-10-30,7,8,34.210,PHI,,PIT,W 35-13,,,,,,0,0,,,,,,,,,,,,,,,,,0,0%,13,17%,3,11%,
201,2022,2022-11-03,8,9,34.214,PHI,@,HOU,W 29-17,,0,0,,0,0,0,0.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,23,38%,3,13%,
202,2022,2022-11-14,9,10,34.225,PHI,,WAS,L 21-32,,0,0,,0,0,0,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,34,41%,6,23%,
203,2022,2022-11-20,10,11,34.231,PHI,@,IND,W 17-16,,0,0,,0,0,0,1.0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,29,45%,5,20%,
204,2022,2022-11-27,11,12,34.238,PHI,,GNB,W 40-33,,0,0,,0,0,0,0.5,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,21,43%,6,19%,
205,2022,2022-12-04,12,13,34.245,PHI,,TEN,W 35-10,,0,0,,0,0,0,1.0,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,18,33%,2,7%,
206,2022,2022-12-11,13,14,34.252,PHI,@,NYG,W 48-22,,0,0,,0,0,0,3.0,4,0,4,3,3,0,0,0,0,0,0,1,0,0,0,0,0%,29,45%,2,6%,
207,2022,2022-12-18,14,15,34.259,PHI,@,CHI,W 25-20,,,,,,0,0,,,,,,,,,,,,,,,,,0,0%,16,27%,3,12%,
208,2022,2022-12-24,15,16,34.265,PHI,@,DAL,L 34-40,,0,0,,0,0,0,0.5,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,29,40%,8,26%,
209,2022,2023-01-01,16,17,34.273,PHI,,NOR,L 10-20,,0,0,,0,0,0,2.0,2,1,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0%,51,74%,6,23%,
210,2022,2023-01-08,17,18,34.280,PHI,,NYG,W 22-16,*,0,0,,0,0,0,0.0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,44,70%,3,11%,
211,2023,2023-09-10,1,1,35.160,PHI,@,NWE,W 25-20,,0,0,,0,0,0,0.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,21,26%,3,10%,
212,2023,2023-09-14,2,2,35.164,PHI,,MIN,W 34-28,,,,,,0,0,,,,,,,,,,,,,,,,,0,0%,17,29%,4,14%,
213,2023,2023-09-25,3,3,35.175,PHI,@,TAM,W 25-11,,0,0,,0,0,0,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,17,36%,1,5%,
214,2023,2023-10-01,4,4,35.181,PHI,,WAS,W 34-31,,0,0,,0,0,0,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0%,28,36%,5,16%,
215,2023,2023-10-08,5,5,35.188,PHI,@,LAR,W 23-14,,,,,,0,0,,,,,,,,,,,,,,,,,0,0%,18,32%,2,10%,
216,2023,2023-10-15,6,6,35.195,PHI,@,NYJ,L 14-20,,0,0,,0,0,0,0.5,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,19,29%,4,18%,
217,2023,2023-10-22,7,7,35.202,PHI,,MIA,W 31-17,,,,,,0,0,,,,,,,,,,,,,,,,,0,0%,12,24%,3,14%,
218,2023,2023-10-29,8,8,35.209,PHI,@,WAS,W 38-31,,,,,,0,0,,,,,,,,,,,,,,,,,0,0%,14,19%,5,18%,
219,2023,2023-11-05,9,9,35.216,PHI,,DAL,W 28-23,,0,0,,0,0,0,1.5,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0%,18,24%,4,17%,
220,2023,2023-11-20,10,11,35.231,PHI,@,KAN,W 21-17,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,25,32%,5,19%,
221,2023,2023-11-26,11,12,35.237,PHI,,BUF,W 37-34,,0,0,,0,0,0,1.0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,26,27%,9,25%,
222,2023,2023-12-03,12,13,35.244,PHI,,SFO,L 19-42,,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,25,42%,6,23%,
223,2023,2023-12-10,13,14,35.251,PHI,@,DAL,L 13-33,,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,42,51%,7,28%,
224,2023,2023-12-18,14,15,35.259,PHI,@,SEA,L 17-20,,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,18,30%,4,15%,
225,2023,2023-12-25,15,16,35.266,PHI,,NYG,W 33-25,,,,,,0,0,,,,,,,,,,,,,,,,,0,0%,29,46%,3,10%,
226,2023,2023-12-31,16,17,35.272,PHI,,ARI,L 31-35,,0,0,,0,0,0,0.0,2,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,36,47%,5,20%,
227,2023,2024-01-07,17,18,35.279,PHI,@,NYG,L 10-27,,,,,,0,0,,,,,,,,,,,,,,,,,0,0%,30,45%,7,27%,
228,2024,2024-09-06,1,1,36.156,PHI,,GNB,W 34-29,,0,0,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,32,48%,7,23%,
229,2024,2024-09-16,2,2,36.166,PHI,,ATL,L 21-22,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,28,46%,4,18%,
230,2024,2024-09-22,3,3,36.172,PHI,@,NOR,W 15-12,,0,0,,0,0,0,0.0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,35,63%,3,18%,
231,2024,2024-09-29,4,4,36.179,PHI,@,TAM,L 16-33,*,0,0,,0,0,0,1.0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,32,42%,6,22%,
